Change ($),Date (1),Price (1),Date (2),Price (2),Name,Set Number,Change (%),Period,product_id,SetName,Edition,tcg_product_id,Rarity,imageUrl,tcgplayerUrl,Release Date,View,Price Bucket
11.97,2023-09-24,0.67,2023-10-01,12.64,Crystron Halqifibrax,DUOV-EN001,0.9469936708860759,7,8824,Duel Overload,1st Edition,210209,Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/210209_200w.jpg,https://www.tcgplayer.com/product/210209/yugioh-duel-overload-crystron-halqifibrax,2020-03-19,All Time,< $1
11.94,2023-09-13,0.7,2023-10-01,12.64,Crystron Halqifibrax,DUOV-EN001,0.9446202531645571,30,8824,Duel Overload,1st Edition,210209,Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/210209_200w.jpg,https://www.tcgplayer.com/product/210209/yugioh-duel-overload-crystron-halqifibrax,2020-03-19,All Time,< $1
11.34,2023-07-03,1.3,2023-10-01,12.64,Crystron Halqifibrax,DUOV-EN001,0.8971518987341772,90,8824,Duel Overload,1st Edition,210209,Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/210209_200w.jpg,https://www.tcgplayer.com/product/210209/yugioh-duel-overload-crystron-halqifibrax,2020-03-19,All Time,$1-5
10.19,2023-04-04,2.45,2023-10-01,12.64,Crystron Halqifibrax,DUOV-EN001,0.8061708860759493,180,8824,Duel Overload,1st Edition,210209,Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/210209_200w.jpg,https://www.tcgplayer.com/product/210209/yugioh-duel-overload-crystron-halqifibrax,2020-03-19,All Time,$1-5
0.53,2023-09-24,0.9,2023-10-01,1.43,Mayhem Fur Hire,MP19-EN255,0.3706293706293706,7,14441,2019 Gold Sarcophagus Tin Mega Pack,Unlimited,197547,Common,https://tcgplayer-cdn.tcgplayer.com/product/197547_200w.jpg,https://www.tcgplayer.com/product/197547/yugioh-2019-gold-sarcophagus-tin-mega-pack-mayhem-fur-hire,2019-08-29,All Time,< $1
0.655,2023-09-13,0.775,2023-10-01,1.43,Mayhem Fur Hire,MP19-EN255,0.4580419580419579,30,14441,2019 Gold Sarcophagus Tin Mega Pack,Unlimited,197547,Common,https://tcgplayer-cdn.tcgplayer.com/product/197547_200w.jpg,https://www.tcgplayer.com/product/197547/yugioh-2019-gold-sarcophagus-tin-mega-pack-mayhem-fur-hire,2019-08-29,All Time,< $1
0.6,2023-07-03,0.83,2023-10-01,1.43,Mayhem Fur Hire,MP19-EN255,0.4195804195804196,90,14441,2019 Gold Sarcophagus Tin Mega Pack,1st Edition,197547,Common,https://tcgplayer-cdn.tcgplayer.com/product/197547_200w.jpg,https://www.tcgplayer.com/product/197547/yugioh-2019-gold-sarcophagus-tin-mega-pack-mayhem-fur-hire,2019-08-29,All Time,< $1
0.63,2023-09-24,0.44,2023-10-01,1.07,Unending Nightmare,BLRR-EN104,0.5887850467289719,7,22574,Battles of Legend: Relentless Revenge,1st Edition,169503,Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/169503_200w.jpg,https://www.tcgplayer.com/product/169503/yugioh-battles-of-legend-relentless-revenge-unending-nightmare,2018-06-28,All Time,< $1
0.65,2023-09-13,0.42,2023-10-01,1.07,Unending Nightmare,BLRR-EN104,0.6074766355140186,30,22574,Battles of Legend: Relentless Revenge,1st Edition,169503,Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/169503_200w.jpg,https://www.tcgplayer.com/product/169503/yugioh-battles-of-legend-relentless-revenge-unending-nightmare,2018-06-28,All Time,< $1
0.54,2023-07-03,0.53,2023-10-01,1.07,Unending Nightmare,BLRR-EN104,0.5046728971962616,90,22574,Battles of Legend: Relentless Revenge,1st Edition,169503,Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/169503_200w.jpg,https://www.tcgplayer.com/product/169503/yugioh-battles-of-legend-relentless-revenge-unending-nightmare,2018-06-28,All Time,< $1
0.54,2023-04-04,0.53,2023-10-01,1.07,Unending Nightmare,BLRR-EN104,0.5046728971962616,180,22574,Battles of Legend: Relentless Revenge,1st Edition,169503,Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/169503_200w.jpg,https://www.tcgplayer.com/product/169503/yugioh-battles-of-legend-relentless-revenge-unending-nightmare,2018-06-28,All Time,< $1
0.53,2023-09-13,0.42,2023-10-01,0.95,Void Ogre Dragon,OP14-EN018,0.5578947368421052,30,23266,OTS Tournament Pack 14,Unlimited,224666,Common,https://tcgplayer-cdn.tcgplayer.com/product/224666_200w.jpg,https://www.tcgplayer.com/product/224666/yugioh-ots-tournament-pack-14-void-ogre-dragon,2020-10-08,All Time,< $1
0.6,2023-07-03,0.35,2023-10-01,0.95,Void Ogre Dragon,OP14-EN018,0.631578947368421,90,23266,OTS Tournament Pack 14,Unlimited,224666,Common,https://tcgplayer-cdn.tcgplayer.com/product/224666_200w.jpg,https://www.tcgplayer.com/product/224666/yugioh-ots-tournament-pack-14-void-ogre-dragon,2020-10-08,All Time,< $1
0.53,2023-04-04,0.42,2023-10-01,0.95,Void Ogre Dragon,OP14-EN018,0.5578947368421052,180,23266,OTS Tournament Pack 14,Unlimited,224666,Common,https://tcgplayer-cdn.tcgplayer.com/product/224666_200w.jpg,https://www.tcgplayer.com/product/224666/yugioh-ots-tournament-pack-14-void-ogre-dragon,2020-10-08,All Time,< $1
0.94,2023-09-13,0.84,2023-10-01,1.78,Snakeyashi,OP05-EN014,0.5280898876404494,30,14264,OTS Tournament Pack 5,Unlimited,139873,Common,https://tcgplayer-cdn.tcgplayer.com/product/139873_200w.jpg,https://www.tcgplayer.com/product/139873/yugioh-ots-tournament-pack-5-snakeyashi,2017-08-03,All Time,< $1
1.0,2023-07-03,0.78,2023-10-01,1.78,Snakeyashi,OP05-EN014,0.5617977528089888,90,14264,OTS Tournament Pack 5,Unlimited,139873,Common,https://tcgplayer-cdn.tcgplayer.com/product/139873_200w.jpg,https://www.tcgplayer.com/product/139873/yugioh-ots-tournament-pack-5-snakeyashi,2017-08-03,All Time,< $1
1.01,2023-04-04,0.77,2023-10-01,1.78,Snakeyashi,OP05-EN014,0.5674157303370787,180,14264,OTS Tournament Pack 5,Unlimited,139873,Common,https://tcgplayer-cdn.tcgplayer.com/product/139873_200w.jpg,https://www.tcgplayer.com/product/139873/yugioh-ots-tournament-pack-5-snakeyashi,2017-08-03,All Time,< $1
0.645,2023-09-13,0.21,2023-10-01,0.855,Red Gardna,TDIL-EN015,0.7543859649122807,30,1271,The Dark Illusion,1st Edition,121272,Common,https://tcgplayer-cdn.tcgplayer.com/product/121272_200w.jpg,https://www.tcgplayer.com/product/121272/yugioh-the-dark-illusion-red-gardna,2016-08-05,All Time,< $1
0.705,2023-07-03,0.15,2023-10-01,0.855,Red Gardna,TDIL-EN015,0.8245614035087719,90,1271,The Dark Illusion,1st Edition,121272,Common,https://tcgplayer-cdn.tcgplayer.com/product/121272_200w.jpg,https://www.tcgplayer.com/product/121272/yugioh-the-dark-illusion-red-gardna,2016-08-05,All Time,< $1
0.7,2023-04-04,0.155,2023-10-01,0.855,Red Gardna,TDIL-EN015,0.8187134502923976,180,1271,The Dark Illusion,1st Edition,121272,Common,https://tcgplayer-cdn.tcgplayer.com/product/121272_200w.jpg,https://www.tcgplayer.com/product/121272/yugioh-the-dark-illusion-red-gardna,2016-08-05,All Time,< $1
0.815,2023-09-13,0.94,2023-10-01,1.755,"Saffira, Queen of Dragons",DUEA-EN050,0.4643874643874644,30,9986,Duelist Alliance,1st Edition,92381,Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/92381_200w.jpg,https://www.tcgplayer.com/product/92381/yugioh-duelist-alliance-saffira-queen-of-dragons,2014-08-15,All Time,< $1
0.9,2023-07-03,0.855,2023-10-01,1.755,"Saffira, Queen of Dragons",DUEA-EN050,0.5128205128205128,90,9986,Duelist Alliance,1st Edition,92381,Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/92381_200w.jpg,https://www.tcgplayer.com/product/92381/yugioh-duelist-alliance-saffira-queen-of-dragons,2014-08-15,All Time,< $1
0.8,2023-09-13,0.61,2023-10-01,1.41,Gem-Knight Amber,DT06-EN069,0.5673758865248227,30,2606,Duel Terminal 6,Limited,81500,Duel Terminal Normal Parallel Rare,https://tcgplayer-cdn.tcgplayer.com/product/81500_200w.jpg,https://www.tcgplayer.com/product/81500/yugioh-duel-terminal-6-gem-knight-amber,2012-05-25,All Time,< $1
0.76,2023-07-03,0.65,2023-10-01,1.41,Gem-Knight Amber,DT06-EN069,0.5390070921985816,90,2606,Duel Terminal 6,Limited,81500,Duel Terminal Normal Parallel Rare,https://tcgplayer-cdn.tcgplayer.com/product/81500_200w.jpg,https://www.tcgplayer.com/product/81500/yugioh-duel-terminal-6-gem-knight-amber,2012-05-25,All Time,< $1
0.74,2023-04-04,0.67,2023-10-01,1.41,Gem-Knight Amber,DT06-EN069,0.524822695035461,180,2606,Duel Terminal 6,Limited,81500,Duel Terminal Normal Parallel Rare,https://tcgplayer-cdn.tcgplayer.com/product/81500_200w.jpg,https://www.tcgplayer.com/product/81500/yugioh-duel-terminal-6-gem-knight-amber,2012-05-25,All Time,< $1
1.02,2023-07-03,0.51,2023-10-01,1.53,Altergeist Pookuery,BROL-EN046,0.6666666666666666,90,308635,Brothers of Legend,1st Edition,256337,Secret Rare,https://tcgplayer-cdn.tcgplayer.com/product/256337_200w.jpg,https://www.tcgplayer.com/product/256337/yugioh-brothers-of-legend-altergeist-pookuery,2021-12-03,All Time,< $1
1.15,2023-04-04,0.38,2023-10-01,1.53,Altergeist Pookuery,BROL-EN046,0.7516339869281046,180,308635,Brothers of Legend,1st Edition,256337,Secret Rare,https://tcgplayer-cdn.tcgplayer.com/product/256337_200w.jpg,https://www.tcgplayer.com/product/256337/yugioh-brothers-of-legend-altergeist-pookuery,2021-12-03,All Time,< $1
0.77,2023-07-03,0.54,2023-10-01,1.31,Altergeist Memorygant,BROL-EN045,0.5877862595419847,90,308634,Brothers of Legend,1st Edition,256336,Secret Rare,https://tcgplayer-cdn.tcgplayer.com/product/256336_200w.jpg,https://www.tcgplayer.com/product/256336/yugioh-brothers-of-legend-altergeist-memorygant,2021-12-03,All Time,< $1
0.75,2023-04-04,0.56,2023-10-01,1.31,Altergeist Memorygant,BROL-EN045,0.5725190839694656,180,308634,Brothers of Legend,1st Edition,256336,Secret Rare,https://tcgplayer-cdn.tcgplayer.com/product/256336_200w.jpg,https://www.tcgplayer.com/product/256336/yugioh-brothers-of-legend-altergeist-memorygant,2021-12-03,All Time,< $1
0.72,2023-07-03,0.79,2023-10-01,1.51,Book of Moon,MGED-EN039,0.4768211920529801,90,30716,Maximum Gold: El Dorado,1st Edition,253948,Premium Gold Rare,https://tcgplayer-cdn.tcgplayer.com/product/253948_200w.jpg,https://www.tcgplayer.com/product/253948/yugioh-maximum-gold-el-dorado-book-of-moon,2021-11-19,All Time,< $1
