rarity,imageUrl,tcgplayerUrl,tcg_product_id
Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/210209_200w.jpg,https://www.tcgplayer.com/product/210209/yugioh-duel-overload-crystron-halqifibrax,210209
Common,https://tcgplayer-cdn.tcgplayer.com/product/139873_200w.jpg,https://www.tcgplayer.com/product/139873/yugioh-ots-tournament-pack-5-snakeyashi,139873
Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/92381_200w.jpg,https://www.tcgplayer.com/product/92381/yugioh-duelist-alliance-saffira-queen-of-dragons,92381
Duel Terminal Normal Parallel Rare,https://tcgplayer-cdn.tcgplayer.com/product/81500_200w.jpg,https://www.tcgplayer.com/product/81500/yugioh-duel-terminal-6-gem-knight-amber,81500
Secret Rare,https://tcgplayer-cdn.tcgplayer.com/product/256337_200w.jpg,https://www.tcgplayer.com/product/256337/yugioh-brothers-of-legend-altergeist-pookuery,256337
Secret Rare,https://tcgplayer-cdn.tcgplayer.com/product/256336_200w.jpg,https://www.tcgplayer.com/product/256336/yugioh-brothers-of-legend-altergeist-memorygant,256336
Premium Gold Rare,https://tcgplayer-cdn.tcgplayer.com/product/256127_200w.jpg,https://www.tcgplayer.com/product/256127/yugioh-maximum-gold-el-dorado-ghost-mourner-and-moonlit-chill-alternate-art,256127
Common,https://tcgplayer-cdn.tcgplayer.com/product/241933_200w.jpg,https://www.tcgplayer.com/product/241933/yugioh-egyptian-god-deck-slifer-the-sky-dragon-book-of-moon,241933
Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/235750_200w.jpg,https://www.tcgplayer.com/product/235750/yugioh-ghosts-from-the-past-starry-night-starry-dragon,235750
Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/235796_200w.jpg,https://www.tcgplayer.com/product/235796/yugioh-ghosts-from-the-past-hieratic-seal-of-the-heavenly-spheres,235796
Premium Gold Rare,https://tcgplayer-cdn.tcgplayer.com/product/227438_200w.jpg,https://www.tcgplayer.com/product/227438/yugioh-maximum-gold-fantastical-dragon-phantazmay-alternate-art,227438
Super Rare,https://tcgplayer-cdn.tcgplayer.com/product/220934_200w.jpg,https://www.tcgplayer.com/product/220934/yugioh-2020-tin-of-lost-memories-unchained-soul-of-anguish,220934
Common,https://tcgplayer-cdn.tcgplayer.com/product/220876_200w.jpg,https://www.tcgplayer.com/product/220876/yugioh-2020-tin-of-lost-memories-unchained-twins-aruha,220876
Super Rare,https://tcgplayer-cdn.tcgplayer.com/product/218889_200w.jpg,https://www.tcgplayer.com/product/218889/yugioh-rise-of-the-duelist-infernoble-knight-ogier,218889
Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/218974_200w.jpg,https://www.tcgplayer.com/product/218974/yugioh-rise-of-the-duelist-shaddoll-schism,218974
Super Rare,https://tcgplayer-cdn.tcgplayer.com/product/216647_200w.jpg,https://www.tcgplayer.com/product/216647/yugioh-ots-tournament-pack-13-spyral-gear-drone,216647
Secret Rare,https://tcgplayer-cdn.tcgplayer.com/product/193610_200w.jpg,https://www.tcgplayer.com/product/193610/yugioh-battles-of-legend-heros-revenge-tg-gear-zombie,193610
Common,https://tcgplayer-cdn.tcgplayer.com/product/188948_200w.jpg,https://www.tcgplayer.com/product/188948/yugioh-ots-tournament-pack-10-tg-hyper-librarian,188948
Super Rare,https://tcgplayer-cdn.tcgplayer.com/product/191042_200w.jpg,https://www.tcgplayer.com/product/191042/yugioh-dark-neostorm-shooting-riser-dragon,191042
Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/184145_200w.jpg,https://www.tcgplayer.com/product/184145/yugioh-savage-strike-tg-star-guardian,184145
Secret Rare,https://tcgplayer-cdn.tcgplayer.com/product/184156_200w.jpg,https://www.tcgplayer.com/product/184156/yugioh-savage-strike-tg-trident-launcher,184156
Common,https://tcgplayer-cdn.tcgplayer.com/product/181772_200w.jpg,https://www.tcgplayer.com/product/181772/yugioh-ots-tournament-pack-9-tg-striker,181772
Common,https://tcgplayer-cdn.tcgplayer.com/product/179258_200w.jpg,https://www.tcgplayer.com/product/179258/yugioh-structure-deck-zombie-horde-red-eyes-zombie-dragon,179258
Common,https://tcgplayer-cdn.tcgplayer.com/product/179273_200w.jpg,https://www.tcgplayer.com/product/179273/yugioh-structure-deck-zombie-horde-marionette-mite,179273
Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/174848_200w.jpg,https://www.tcgplayer.com/product/174848/yugioh-2018-mega-tins-mega-pack-altergeist-primebanshee,174848
Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/170766_200w.jpg,https://www.tcgplayer.com/product/170766/yugioh-cybernetic-horizon-sacred-noble-knight-of-king-custennin,170766
Common,https://tcgplayer-cdn.tcgplayer.com/product/165483_200w.jpg,https://www.tcgplayer.com/product/165483/yugioh-structure-deck-lair-of-darkness-fiendish-rhino-warrior,165483
Super Rare,https://tcgplayer-cdn.tcgplayer.com/product/139206_200w.jpg,https://www.tcgplayer.com/product/139206/yugioh-code-of-the-duelist-d-d-d-wave-high-king-caesar,139206
Rare,https://tcgplayer-cdn.tcgplayer.com/product/131162_200w.jpg,https://www.tcgplayer.com/product/131162/yugioh-maximum-crisis-d-d-d-stone-king-darius,131162
Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/129669_200w.jpg,https://www.tcgplayer.com/product/129669/yugioh-duelist-saga-m-x-saber-invoker,129669
Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/129581_200w.jpg,https://www.tcgplayer.com/product/129581/yugioh-duelist-saga-full-armored-crystalzero-lancer,129581
Gold Rare,https://tcgplayer-cdn.tcgplayer.com/product/115884_200w.jpg,https://www.tcgplayer.com/product/115884/yugioh-premium-gold-infinite-gold-storming-mirror-force,115884
Rare,https://tcgplayer-cdn.tcgplayer.com/product/111190_200w.jpg,https://www.tcgplayer.com/product/111190/yugioh-breakers-of-shadow-fiendish-rhino-warrior,111190
Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/107709_200w.jpg,https://www.tcgplayer.com/product/107709/yugioh-dimension-of-chaos-majespecter-tornado,107709
Rare,https://tcgplayer-cdn.tcgplayer.com/product/107659_200w.jpg,https://www.tcgplayer.com/product/107659/yugioh-dimension-of-chaos-majespecter-unicorn-kirin,107659
Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/103947_200w.jpg,https://www.tcgplayer.com/product/103947/yugioh-structure-deck-synchron-extreme-jet-warrior,103947
Secret Rare,https://tcgplayer-cdn.tcgplayer.com/product/94040_200w.jpg,https://www.tcgplayer.com/product/94040/yugioh-legendary-collection-5ds-tg-cyber-magician,94040
Common,https://tcgplayer-cdn.tcgplayer.com/product/92554_200w.jpg,https://www.tcgplayer.com/product/92554/yugioh-2014-mega-tins-mega-pack-battlin-boxer-sparrer,92554
Common,https://tcgplayer-cdn.tcgplayer.com/product/71632_200w.jpg,https://www.tcgplayer.com/product/71632/yugioh-legendary-collection-4-joeys-world-amazoness-fighter,71632
Super Rare,https://tcgplayer-cdn.tcgplayer.com/product/78046_200w.jpg,https://www.tcgplayer.com/product/78046/yugioh-astral-pack-3-noble-arms-arfeudutyr,78046
Common,https://tcgplayer-cdn.tcgplayer.com/product/68115_200w.jpg,https://www.tcgplayer.com/product/68115/yugioh-lord-of-the-tachyon-galaxy-battlin-boxer-sparrer,68115
Starfoil Rare,https://tcgplayer-cdn.tcgplayer.com/product/77567_200w.jpg,https://www.tcgplayer.com/product/77567/yugioh-star-pack-2013-gandora-the-dragon-of-destruction-starfoil,77567
Common,https://tcgplayer-cdn.tcgplayer.com/product/67738_200w.jpg,https://www.tcgplayer.com/product/67738/yugioh-structure-deck-onslaught-of-the-fire-kings-flamvell-counter,67738
