date,difference,first_date,first_price,high,last_date,last_price,low,market,mid,name,number,p_change,period,product_id,set_name,sub_type,tcg_product_id,updated_at
2023-09-30 11:17:06.644663,11.97,2023-09-23 00:00:00.000000,0.67,76.0,2023-10-01 00:00:00.000000,12.64,0.45,12.64,1.25,Crystron Halqifibrax,DUOV-EN001,0.946993670886076,7,8824,Duel Overload,1st Edition,210209,2020-03-19 00:00:00+00:00
2023-09-13 15:07:53.061761,0.94,2023-09-13 00:00:00.000000,0.84,15.0,2023-10-01 00:00:00.000000,1.78,5.5,0.84,6.75,Snakeyashi,OP05-EN014,0.5280898876404494,30,14264,OTS Tournament Pack 5,Unlimited,139873,2017-08-03 00:00:00+00:00
2023-10-01 11:19:25.945732,0.815,2023-09-13 00:00:00.000000,0.94,7.99,2023-10-01 00:00:00.000000,1.755,2.39,2.17,5.07,"Saffira, Queen of Dragons",DUEA-EN050,0.46438746438746437,30,9986,Duelist Alliance,1st Edition,92381,2014-08-15 00:00:00+00:00
2023-09-27 10:06:08.063059,0.8,2023-09-13 00:00:00.000000,0.61,2.96,2023-10-01 00:00:00.000000,1.41,0.37,1.21,0.99,Gem-Knight Amber,DT06-EN069,0.5673758865248227,30,2606,Duel Terminal 6,Limited,81500,2012-05-25 00:00:00+00:00
2023-09-16 10:27:43.003670,1.02,2023-07-02 00:00:00.000000,0.51,25.0,2023-10-01 00:00:00.000000,1.53,0.43,1.28,1.81,Altergeist Pookuery,BROL-EN046,0.6666666666666666,90,308635,Brothers of Legend,1st Edition,256337,2021-12-03 00:00:00+00:00
2023-09-16 10:27:42.968256,0.75,2023-07-02 00:00:00.000000,0.56,10.0,2023-10-01 00:00:00.000000,1.31,0.2,1.43,1.25,Altergeist Memorygant,BROL-EN045,0.5725190839694656,90,308634,Brothers of Legend,1st Edition,256336,2021-12-03 00:00:00+00:00
2023-07-14 11:31:50.805854,0.85,2023-07-02 00:00:00.000000,0.99,10.0,2023-10-01 00:00:00.000000,1.84,1.08,2.06,2.23,Ghost Mourner & Moonlit Chill (Alternate Art),MGED-EN023,0.46195652173913043,90,30858,Maximum Gold: El Dorado,1st Edition,256127,2021-11-19 00:00:00+00:00
2023-08-14 11:27:54.047526,1.03,2023-07-02 00:00:00.000000,0.84,4.3,2023-10-01 00:00:00.000000,1.87,0.2,0.86,0.95,Book of Moon,EGS1-EN024,0.5508021390374331,90,29914,Egyptian God Deck: Slifer the Sky Dragon,1st Edition,241933,2021-06-17 00:00:00+00:00
2023-07-20 11:33:52.119505,0.96,2023-07-02 00:00:00.000000,0.5,10.0,2023-10-01 00:00:00.000000,1.46,0.25,1.05,1.0,"Starry Night, Starry Dragon",GFTP-EN027,0.6575342465753424,90,29577,Ghosts From the Past,1st Edition,235750,2021-04-16 00:00:00+00:00
2023-07-12 11:29:40.938171,0.97,2023-07-02 00:00:00.000000,0.88,19.99,2023-10-01 00:00:00.000000,1.85,0.36,0.89,1.78,Hieratic Seal of the Heavenly Spheres,GFTP-EN053,0.5243243243243243,90,29623,Ghosts From the Past,1st Edition,235796,2021-04-16 00:00:00+00:00
2023-08-10 11:26:31.433510,1.46,2023-07-02 00:00:00.000000,0.86,8.0,2023-10-01 00:00:00.000000,2.32,0.34,0.83,1.0,Fantastical Dragon Phantazmay (Alternate Art),MAGO-EN018,0.6293103448275862,90,28670,Maximum Gold,1st Edition,227438,2020-11-12 00:00:00+00:00
2023-09-28 10:43:31.355851,1.48,2023-07-02 00:00:00.000000,0.28,5.99,2023-10-01 00:00:00.000000,1.76,1.05,1.47,1.99,Unchained Soul of Anguish,MP20-EN174,0.8409090909090909,90,23598,2020 Tin of Lost Memories,1st Edition,220934,2020-08-27 00:00:00+00:00
2023-09-28 10:43:15.804599,2.05,2023-07-02 00:00:00.000000,0.64,4.99,2023-10-01 00:00:00.000000,2.69,1.9,1.99,2.94,Unchained Twins - Aruha,MP20-EN152,0.7620817843866171,90,23196,2020 Tin of Lost Memories,1st Edition,220876,2020-08-27 00:00:00+00:00
2023-08-12 11:24:32.090836,2.11,2023-07-02 00:00:00.000000,0.85,11.96,2023-10-01 00:00:00.000000,2.96,3.31,3.44,4.01,Infernoble Knight Ogier,ROTD-EN013,0.7128378378378378,90,23591,Rise of the Duelist,1st Edition,218889,2020-08-06 00:00:00+00:00
2023-08-13 11:23:21.082660,1.02,2023-07-02 00:00:00.000000,0.71,32.11,2023-10-01 00:00:00.000000,1.73,0.5,0.95,1.49,Shaddoll Schism,ROTD-EN076,0.5895953757225434,90,26596,Rise of the Duelist,1st Edition,218974,2020-08-06 00:00:00+00:00
2023-09-25 10:21:25.113222,1.45,2023-07-02 00:00:00.000000,0.66,18.04,2023-10-01 00:00:00.000000,2.11,0.5,1.95,2.01,SPYRAL GEAR - Drone,OP13-EN011,0.6872037914691943,90,23616,OTS Tournament Pack 13,Unlimited,216647,2020-06-15 00:00:00+00:00
2023-08-07 11:13:07.526505,0.76,2023-07-02 00:00:00.000000,0.29,1000.1,2023-10-01 00:00:00.000000,1.05,0.15,0.52,0.69,T.G. Gear Zombie,BLHR-EN023,0.7238095238095238,90,11158,Battles of Legend: Hero's Revenge,1st Edition,193610,2019-07-11 00:00:00+00:00
2023-07-19 11:02:43.233108,0.9,2023-07-02 00:00:00.000000,0.95,3.29,2023-10-01 00:00:00.000000,1.85,1.0,1.05,1.55,T.G. Hyper Librarian,OP10-EN018,0.4864864864864865,90,484,OTS Tournament Pack 10,Unlimited,188948,2019-04-18 00:00:00+00:00
2023-08-20 11:08:21.358086,0.83,2023-07-02 00:00:00.000000,0.99,4.99,2023-10-01 00:00:00.000000,1.82,0.69,1.47,1.47,Shooting Riser Dragon,DANE-ENSE3,0.45604395604395603,90,6718,Dark Neostorm,Limited,191042,2019-02-05 00:00:00+00:00
2023-07-25 11:13:02.545971,2.165,2023-07-02 00:00:00.000000,0.335,5.0,2023-10-01 00:00:00.000000,2.5,0.69,1.13,3.76,T.G. Star Guardian,SAST-EN039,0.866,90,9660,Savage Strike,1st Edition,184145,2019-01-31 00:00:00+00:00
2023-07-06 11:13:23.003026,0.86,2023-07-02 00:00:00.000000,0.725,8.0,2023-10-01 00:00:00.000000,1.585,0.29,0.71,0.92,T.G. Trident Launcher,SAST-EN050,0.5425867507886435,90,11061,Savage Strike,Unlimited,184156,2019-01-31 00:00:00+00:00
