rarity,imageUrl,tcgplayerUrl,tcg_product_id
Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/210209_200w.jpg,https://www.tcgplayer.com/product/210209/yugioh-duel-overload-crystron-halqifibrax,210209
Common,https://tcgplayer-cdn.tcgplayer.com/product/197547_200w.jpg,https://www.tcgplayer.com/product/197547/yugioh-2019-gold-sarcophagus-tin-mega-pack-mayhem-fur-hire,197547
Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/169503_200w.jpg,https://www.tcgplayer.com/product/169503/yugioh-battles-of-legend-relentless-revenge-unending-nightmare,169503
Common,https://tcgplayer-cdn.tcgplayer.com/product/224666_200w.jpg,https://www.tcgplayer.com/product/224666/yugioh-ots-tournament-pack-14-void-ogre-dragon,224666
Common,https://tcgplayer-cdn.tcgplayer.com/product/139873_200w.jpg,https://www.tcgplayer.com/product/139873/yugioh-ots-tournament-pack-5-snakeyashi,139873
Common,https://tcgplayer-cdn.tcgplayer.com/product/121272_200w.jpg,https://www.tcgplayer.com/product/121272/yugioh-the-dark-illusion-red-gardna,121272
Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/92381_200w.jpg,https://www.tcgplayer.com/product/92381/yugioh-duelist-alliance-saffira-queen-of-dragons,92381
Rare,https://tcgplayer-cdn.tcgplayer.com/product/80069_200w.jpg,https://www.tcgplayer.com/product/80069/yugioh-duelist-league-promo-disturbance-strategy-red,80069
Duel Terminal Normal Parallel Rare,https://tcgplayer-cdn.tcgplayer.com/product/81500_200w.jpg,https://www.tcgplayer.com/product/81500/yugioh-duel-terminal-6-gem-knight-amber,81500
Secret Rare,https://tcgplayer-cdn.tcgplayer.com/product/256337_200w.jpg,https://www.tcgplayer.com/product/256337/yugioh-brothers-of-legend-altergeist-pookuery,256337
Secret Rare,https://tcgplayer-cdn.tcgplayer.com/product/256336_200w.jpg,https://www.tcgplayer.com/product/256336/yugioh-brothers-of-legend-altergeist-memorygant,256336
Premium Gold Rare,https://tcgplayer-cdn.tcgplayer.com/product/253948_200w.jpg,https://www.tcgplayer.com/product/253948/yugioh-maximum-gold-el-dorado-book-of-moon,253948
Rare,https://tcgplayer-cdn.tcgplayer.com/product/254432_200w.jpg,https://www.tcgplayer.com/product/254432/yugioh-maximum-gold-el-dorado-deep-sea-diva,254432
Premium Gold Rare,https://tcgplayer-cdn.tcgplayer.com/product/256127_200w.jpg,https://www.tcgplayer.com/product/256127/yugioh-maximum-gold-el-dorado-ghost-mourner-and-moonlit-chill-alternate-art,256127
Super Rare,https://tcgplayer-cdn.tcgplayer.com/product/252548_200w.jpg,https://www.tcgplayer.com/product/252548/yugioh-burst-of-destiny-floowandereeze-and-eglen,252548
Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/245810_200w.jpg,https://www.tcgplayer.com/product/245810/yugioh-dawn-of-majesty-magikey-maftea,245810
Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/242870_200w.jpg,https://www.tcgplayer.com/product/242870/yugioh-kings-court-evolzar-dolkka,242870
Common,https://tcgplayer-cdn.tcgplayer.com/product/241933_200w.jpg,https://www.tcgplayer.com/product/241933/yugioh-egyptian-god-deck-slifer-the-sky-dragon-book-of-moon,241933
Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/235750_200w.jpg,https://www.tcgplayer.com/product/235750/yugioh-ghosts-from-the-past-starry-night-starry-dragon,235750
Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/235819_200w.jpg,https://www.tcgplayer.com/product/235819/yugioh-ghosts-from-the-past-salamangreat-falco,235819
Ultra Rare,https://tcgplayer-cdn.tcgplayer.com/product/235796_200w.jpg,https://www.tcgplayer.com/product/235796/yugioh-ghosts-from-the-past-hieratic-seal-of-the-heavenly-spheres,235796
