date,difference,first_date,first_price,high,last_date,last_price,low,market,mid,name,number,p_change,period,product_id,set_name,sub_type,tcg_product_id,updated_at
2023-10-01 11:18:40.040699,11.97,2023-09-24 00:00:00.000000,0.67,76.0,2023-10-01 00:00:00.000000,12.64,0.45,12.64,1.2,Crystron Halqifibrax,DUOV-EN001,0.946993670886076,7,8824,Duel Overload,1st Edition,210209,2020-03-19 00:00:00+00:00
2023-09-13 15:07:53.061761,0.94,2023-09-13 00:00:00.000000,0.84,15.0,2023-10-01 00:00:00.000000,1.78,5.5,0.84,6.75,Snakeyashi,OP05-EN014,0.5280898876404494,30,14264,OTS Tournament Pack 5,Unlimited,139873,2017-08-03 00:00:00+00:00
2023-10-01 11:19:25.945732,0.815,2023-09-13 00:00:00.000000,0.94,7.99,2023-10-01 00:00:00.000000,1.755,2.39,2.17,5.07,"Saffira, Queen of Dragons",DUEA-EN050,0.46438746438746437,30,9986,Duelist Alliance,1st Edition,92381,2014-08-15 00:00:00+00:00
2023-09-27 10:06:08.063059,0.8,2023-09-13 00:00:00.000000,0.61,2.96,2023-10-01 00:00:00.000000,1.41,0.37,1.21,0.99,Gem-Knight Amber,DT06-EN069,0.5673758865248227,30,2606,Duel Terminal 6,Limited,81500,2012-05-25 00:00:00+00:00
2023-08-14 11:29:13.904834,1.02,2023-07-03 00:00:00.000000,0.51,25.0,2023-10-01 00:00:00.000000,1.53,0.55,2.16,2.01,Altergeist Pookuery,BROL-EN046,0.6666666666666666,90,308635,Brothers of Legend,1st Edition,256337,2021-12-03 00:00:00+00:00
2023-09-14 10:26:21.918985,0.77,2023-07-03 00:00:00.000000,0.54,10.0,2023-10-01 00:00:00.000000,1.31,0.2,1.41,1.24,Altergeist Memorygant,BROL-EN045,0.5877862595419847,90,308634,Brothers of Legend,1st Edition,256336,2021-12-03 00:00:00+00:00
2023-07-24 11:32:53.283914,0.87,2023-07-03 00:00:00.000000,0.97,11.95,2023-10-01 00:00:00.000000,1.84,0.82,2.24,2.45,Ghost Mourner & Moonlit Chill (Alternate Art),MGED-EN023,0.47282608695652173,90,30858,Maximum Gold: El Dorado,1st Edition,256127,2021-11-19 00:00:00+00:00
2023-09-15 10:24:38.278178,1.035,2023-07-03 00:00:00.000000,0.835,0.89,2023-10-01 00:00:00.000000,1.87,0.72,0.7,0.75,Book of Moon,EGS1-EN024,0.553475935828877,90,29914,Egyptian God Deck: Slifer the Sky Dragon,Unlimited,241933,2021-06-17 00:00:00+00:00
2023-07-24 11:30:15.295409,1.0,2023-07-03 00:00:00.000000,0.85,19.99,2023-10-01 00:00:00.000000,1.85,0.35,1.0,1.62,Hieratic Seal of the Heavenly Spheres,GFTP-EN053,0.5405405405405406,90,29623,Ghosts From the Past,1st Edition,235796,2021-04-16 00:00:00+00:00
2023-07-30 11:25:31.936010,0.96,2023-07-03 00:00:00.000000,0.5,10.0,2023-10-01 00:00:00.000000,1.46,0.25,0.71,0.99,"Starry Night, Starry Dragon",GFTP-EN027,0.6575342465753424,90,29577,Ghosts From the Past,1st Edition,235750,2021-04-16 00:00:00+00:00
