sum,abbreviation,date,setname,releasedate
60.475,GEIM,2021-02-18,Genesis Impact,2020-12-18 00:00:00+00:00
61.426,GEIM,2021-02-19,Genesis Impact,2020-12-18 00:00:00+00:00
62.68,GEIM,2021-02-20,Genesis Impact,2020-12-18 00:00:00+00:00
59.45,GEIM,2021-02-21,Genesis Impact,2020-12-18 00:00:00+00:00
55.74,GEIM,2021-02-22,Genesis Impact,2020-12-18 00:00:00+00:00
56.22,GEIM,2021-02-23,Genesis Impact,2020-12-18 00:00:00+00:00
55.19,GEIM,2021-02-24,Genesis Impact,2020-12-18 00:00:00+00:00
54.71,GEIM,2021-02-25,Genesis Impact,2020-12-18 00:00:00+00:00
56.31,GEIM,2021-02-26,Genesis Impact,2020-12-18 00:00:00+00:00
55.31,GEIM,2021-02-27,Genesis Impact,2020-12-18 00:00:00+00:00
54.29,GEIM,2021-02-28,Genesis Impact,2020-12-18 00:00:00+00:00
53.33,GEIM,2021-03-01,Genesis Impact,2020-12-18 00:00:00+00:00
54.37,GEIM,2021-03-02,Genesis Impact,2020-12-18 00:00:00+00:00
58.68,GEIM,2021-03-04,Genesis Impact,2020-12-18 00:00:00+00:00
59.12,GEIM,2021-03-05,Genesis Impact,2020-12-18 00:00:00+00:00
59.65,GEIM,2021-03-06,Genesis Impact,2020-12-18 00:00:00+00:00
59.78,GEIM,2021-03-07,Genesis Impact,2020-12-18 00:00:00+00:00
59.43,GEIM,2021-03-08,Genesis Impact,2020-12-18 00:00:00+00:00
59.24,GEIM,2021-03-09,Genesis Impact,2020-12-18 00:00:00+00:00
56.0,GEIM,2021-03-10,Genesis Impact,2020-12-18 00:00:00+00:00
56.55,GEIM,2021-03-11,Genesis Impact,2020-12-18 00:00:00+00:00
60.25,GEIM,2021-03-12,Genesis Impact,2020-12-18 00:00:00+00:00
61.71,GEIM,2021-03-13,Genesis Impact,2020-12-18 00:00:00+00:00
61.63,GEIM,2021-03-14,Genesis Impact,2020-12-18 00:00:00+00:00
63.29,GEIM,2021-03-15,Genesis Impact,2020-12-18 00:00:00+00:00
