Name,Set Number,Set Name,Price (1),Date (1),Price (2),Date (2),$ Change
"Ninaruru, the Magistus Glass Goddess (CR)",GEIM-EN007,Genesis Impact,20.8,2021-07-03 ,11.73,2023-10-01 ,-9.07
"Artemis, the Magistus Moon Maiden (CR)",GEIM-EN008,Genesis Impact,71.8,2021-07-03 ,27.22,2023-10-01 ,-44.58
Trismagistus,GEIM-EN009,Genesis Impact,0.17,2021-07-03 ,0.13,2023-10-01 ,-0.04
Magistus Theurgy,GEIM-EN010,Genesis Impact,0.14,2021-07-03 ,0.06,2023-10-01 ,-0.08
Magistus Invocation,GEIM-EN011,Genesis Impact,0.2,2021-07-03 ,0.08,2023-10-01 ,-0.12
Magistus Vritra,GEIM-EN012,Genesis Impact,0.17,2021-07-03 ,0.07,2023-10-01 ,-0.1
Live Twin Ki-sikil (CR),GEIM-EN013,Genesis Impact,73.04,2021-07-03 ,41.37,2023-10-01 ,-31.67
Live Twin Lil-la (CR),GEIM-EN014,Genesis Impact,68.87,2021-07-03 ,56.79,2023-10-01 ,-12.08
Evil Twin Ki-sikil (CR),GEIM-EN015,Genesis Impact,75.19,2021-07-03 ,49.16,2023-10-01 ,-26.03
Evil Twin Lil-la (CR),GEIM-EN016,Genesis Impact,59.2,2021-07-03 ,32.77,2023-10-01 ,-26.43
Evil Twins Ki-sikil & Lil-la (CR),GEIM-EN017,Genesis Impact,41.57,2021-07-03 ,26.39,2023-10-01 ,-15.18
Live Twin Home,GEIM-EN018,Genesis Impact,0.22,2021-07-03 ,0.37,2023-10-01 ,0.15
Live Twin Channel,GEIM-EN019,Genesis Impact,0.14,2021-07-03 ,0.13,2023-10-01 ,-0.01
Secret Password,GEIM-EN020,Genesis Impact,0.25,2021-07-03 ,0.54,2023-10-01 ,0.29
Evil Twin Challenge,GEIM-EN021,Genesis Impact,0.18,2021-07-03 ,0.15,2023-10-01 ,-0.03
Evil Twin GG EZ,GEIM-EN022,Genesis Impact,0.18,2021-07-03 ,0.12,2023-10-01 ,-0.06
Evil Twin Present,GEIM-EN023,Genesis Impact,0.16,2021-07-03 ,0.13,2023-10-01 ,-0.03
Drytron Meteonis Draconids (CR),GEIM-EN029,Genesis Impact,50.44,2021-07-03 ,25.34,2023-10-01 ,-25.1
Drytron Meteonis Quadrantids (CR),GEIM-EN030,Genesis Impact,27.61,2021-07-03 ,14.22,2023-10-01 ,-13.39
Drytron Fafnir,GEIM-EN031,Genesis Impact,0.29,2021-07-03 ,0.31,2023-10-01 ,0.02
Meteonis Drytron,GEIM-EN032,Genesis Impact,11.43,2021-07-03 ,6.98,2023-10-01 ,-4.45
Meteonis Drytron (CR),GEIM-EN032,Genesis Impact,91.35,2021-07-03 ,40.33,2023-10-01 ,-51.02
Drytron Nova,GEIM-EN033,Genesis Impact,31.09,2021-07-03 ,13.45,2023-10-01 ,-17.64
Drytron Eclipse,GEIM-EN034,Genesis Impact,0.14,2021-07-03 ,0.06,2023-10-01 ,-0.08
Drytron Asterism,GEIM-EN035,Genesis Impact,0.16,2021-07-03 ,0.06,2023-10-01 ,-0.1
Drytron Meteor Shower,GEIM-EN036,Genesis Impact,0.12,2021-07-03 ,0.08,2023-10-01 ,-0.04
Cyberse Gadget,GEIM-EN037,Genesis Impact,0.18,2021-07-03 ,0.11,2023-10-01 ,-0.07
Performage Hat Tricker,GEIM-EN038,Genesis Impact,0.21,2021-07-03 ,0.13,2023-10-01 ,-0.08
Star Drawing,GEIM-EN039,Genesis Impact,0.1,2021-07-03 ,0.08,2023-10-01 ,-0.02
Knightmare Gryphon,GEIM-EN041,Genesis Impact,0.19,2021-07-03 ,0.26,2023-10-01 ,0.07
